dna_type,filepath,ftp_basename,length_of_seqs,num_of_seqs
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000812185.1_ASM81218v1_plasmid.fna,GCF_000812185.1_ASM81218v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000385565.1_ASM38556v1_chromosome.fna,GCF_000385565.1_ASM38556v1,2076931,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000385565.1_ASM38556v1_plasmid.fna,GCF_000385565.1_ASM38556v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000145295.1_ASM14529v1_chromosome.fna,GCF_000145295.1_ASM14529v1,1634695,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000145295.1_ASM14529v1_plasmid.fna,GCF_000145295.1_ASM14529v1,4440,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000956175.1_ASM95617v1_chromosome.fna,GCF_000956175.1_ASM95617v1,1803090,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000956175.1_ASM95617v1_plasmid.fna,GCF_000956175.1_ASM95617v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000148385.1_ASM14838v1_chromosome.fna,GCF_000148385.1_ASM14838v1,2374137,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000148385.1_ASM14838v1_plasmid.fna,GCF_000148385.1_ASM14838v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000019605.1_ASM1960v1_chromosome.fna,GCF_000019605.1_ASM1960v1,1590757,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000019605.1_ASM1960v1_plasmid.fna,GCF_000019605.1_ASM1960v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000328665.1_ASM32866v1_chromosome.fna,GCF_000328665.1_ASM32866v1,2428904,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000328665.1_ASM32866v1_plasmid.fna,GCF_000328665.1_ASM32866v1,285109,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000306765.2_ASM30676v2_chromosome.fna,GCF_000306765.2_ASM30676v2,2948884,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000306765.2_ASM30676v2_plasmid.fna,GCF_000306765.2_ASM30676v2,129210:321908:504705,3
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000024625.1_ASM2462v1_chromosome.fna,GCF_000024625.1_ASM2462v1,1746329,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000024625.1_ASM2462v1_plasmid.fna,GCF_000024625.1_ASM2462v1,10704:4704,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000237865.1_ASM23786v1_chromosome.fna,GCF_000237865.1_ASM23786v1,3148033,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000237865.1_ASM23786v1_plasmid.fna,GCF_000237865.1_ASM23786v1,100258:6129:6056,3
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000969885.1_ASM96988v1_chromosome.fna,GCF_000969885.1_ASM96988v1,3127379,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000969885.1_ASM96988v1_plasmid.fna,GCF_000969885.1_ASM96988v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000008665.1_ASM866v1_chromosome.fna,GCF_000008665.1_ASM866v1,2178400,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000008665.1_ASM866v1_plasmid.fna,GCF_000008665.1_ASM866v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000166095.1_ASM16609v1_chromosome.fna,GCF_000166095.1_ASM16609v1,1243342,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000166095.1_ASM16609v1_plasmid.fna,GCF_000166095.1_ASM16609v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000327505.1_ASM32750v1_chromosome.fna,GCF_000327505.1_ASM32750v1,1437090,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000327505.1_ASM32750v1_plasmid.fna,GCF_000327505.1_ASM32750v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000246985.2_ASM24698v3_chromosome.fna,GCF_000246985.2_ASM24698v3,2215172,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000246985.2_ASM24698v3_plasmid.fna,GCF_000246985.2_ASM24698v3,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000018365.1_ASM1836v1_chromosome.fna,GCF_000018365.1_ASM1836v1,1847607,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000018365.1_ASM1836v1_plasmid.fna,GCF_000018365.1_ASM1836v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000470655.1_HATI1_chromosome.fna,GCF_000470655.1_HATI1,2815791,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000470655.1_HATI1_plasmid.fna,GCF_000470655.1_HATI1,330369,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000970205.1_ASM97020v1_chromosome.fna,GCF_000970205.1_ASM97020v1,4142816,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000970205.1_ASM97020v1_plasmid.fna,GCF_000970205.1_ASM97020v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000214415.1_ASM21441v1_chromosome.fna,GCF_000214415.1_ASM21441v1,1854197,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000214415.1_ASM21441v1_plasmid.fna,GCF_000214415.1_ASM21441v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000299395.1_ASM29939v1_chromosome.fna,GCF_000299395.1_ASM29939v1,1690905,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000299395.1_ASM29939v1_plasmid.fna,GCF_000299395.1_ASM29939v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000022205.1_ASM2220v1_chromosome.fna,GCF_000022205.1_ASM2220v1,2735295:525943,2
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000022205.1_ASM2220v1_plasmid.fna,GCF_000022205.1_ASM2220v1,431338,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025505.1_ASM2550v1_chromosome.fna,GCF_000025505.1_ASM2550v1,2196266,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025505.1_ASM2550v1_plasmid.fna,GCF_000025505.1_ASM2550v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000015205.1_ASM1520v1_chromosome.fna,GCF_000015205.1_ASM1520v1,1826402,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000015205.1_ASM1520v1_plasmid.fna,GCF_000015205.1_ASM1520v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000204415.1_ASM20441v1_chromosome.fna,GCF_000204415.1_ASM20441v1,3008626,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000204415.1_ASM20441v1_plasmid.fna,GCF_000204415.1_ASM20441v1,18019,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000026045.1_ASM2604v1_chromosome.fna,GCF_000026045.1_ASM2604v1,2595221,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000026045.1_ASM2604v1_plasmid.fna,GCF_000026045.1_ASM2604v1,130989:23486,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000762265.1_ASM76226v1_chromosome.fna,GCF_000762265.1_ASM76226v1,2449987,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000762265.1_ASM76226v1_plasmid.fna,GCF_000762265.1_ASM76226v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000517625.1_ASM51762v1_chromosome.fna,GCF_000517625.1_ASM51762v1,2789326,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000517625.1_ASM51762v1_plasmid.fna,GCF_000517625.1_ASM51762v1,573680:464581:172663:130926,4
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000769655.1_ASM76965v1_chromosome.fna,GCF_000769655.1_ASM76965v1,2122535,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000769655.1_ASM76965v1_plasmid.fna,GCF_000769655.1_ASM76965v1,3629,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000230735.2_ASM23073v3_chromosome.fna,GCF_000230735.2_ASM23073v3,3790479,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000230735.2_ASM23073v3_plasmid.fna,GCF_000230735.2_ASM23073v3,287800:275821,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000230715.2_ASM23071v3_chromosome.fna,GCF_000230715.2_ASM23071v3,3788356,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000230715.2_ASM23071v3_plasmid.fna,GCF_000230715.2_ASM23071v3,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000264495.1_ASM26449v1_chromosome.fna,GCF_000264495.1_ASM26449v1,1356318,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000264495.1_ASM26449v1_plasmid.fna,GCF_000264495.1_ASM26449v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000018305.1_ASM1830v1_chromosome.fna,GCF_000018305.1_ASM1830v1,2077567,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000018305.1_ASM1830v1_plasmid.fna,GCF_000018305.1_ASM1830v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000006175.1_ASM617v2_chromosome.fna,GCF_000006175.1_ASM617v2,1936387,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000006175.1_ASM617v2_plasmid.fna,GCF_000006175.1_ASM617v2,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000007305.1_ASM730v1_chromosome.fna,GCF_000007305.1_ASM730v1,1908256,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000007305.1_ASM730v1_plasmid.fna,GCF_000007305.1_ASM730v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000223905.1_ASM22390v1_chromosome.fna,GCF_000223905.1_ASM22390v1,2995271:488918,2
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000223905.1_ASM22390v1_plasmid.fna,GCF_000223905.1_ASM22390v1,405816,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025285.1_ASM2528v1_chromosome.fna,GCF_000025285.1_ASM2528v1,1560622,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025285.1_ASM2528v1_plasmid.fna,GCF_000025285.1_ASM2528v1,2801,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000024185.1_ASM2418v1_chromosome.fna,GCF_000024185.1_ASM2418v1,2937203,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000024185.1_ASM2418v1_plasmid.fna,GCF_000024185.1_ASM2418v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000092305.1_ASM9230v1_chromosome.fna,GCF_000092305.1_ASM9230v1,1328194,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000092305.1_ASM9230v1_plasmid.fna,GCF_000092305.1_ASM9230v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000023985.1_ASM2398v1_chromosome.fna,GCF_000023985.1_ASM2398v1,1485061,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000023985.1_ASM2398v1_plasmid.fna,GCF_000023985.1_ASM2398v1,22190,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000008265.1_ASM826v1_chromosome.fna,GCF_000008265.1_ASM826v1,1545895,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000008265.1_ASM826v1_plasmid.fna,GCF_000008265.1_ASM826v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000304355.2_Mb_MS2_chromosome.fna,GCF_000304355.2_Mb_MS2,2789774,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000304355.2_Mb_MS2_plasmid.fna,GCF_000304355.2_Mb_MS2,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000263735.1_ASM26373v1_chromosome.fna,GCF_000263735.1_ASM26373v1,1736885,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000263735.1_ASM26373v1_plasmid.fna,GCF_000263735.1_ASM26373v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000224475.1_ASM22447v1_chromosome.fna,GCF_000224475.1_ASM22447v1,2913689,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000224475.1_ASM22447v1_plasmid.fna,GCF_000224475.1_ASM22447v1,705810:23659,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000196895.1_ASM19689v1_chromosome.fna,GCF_000196895.1_ASM19689v1,2809118,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000196895.1_ASM19689v1_plasmid.fna,GCF_000196895.1_ASM19689v1,406285:363534:44576:44459:23727:6951,6
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000223395.1_ASM22339v1_chromosome.fna,GCF_000223395.1_ASM22339v1,1843267,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000223395.1_ASM22339v1_plasmid.fna,GCF_000223395.1_ASM22339v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000328685.1_ASM32868v1_chromosome.fna,GCF_000328685.1_ASM32868v1,4013216,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000328685.1_ASM32868v1_plasmid.fna,GCF_000328685.1_ASM32868v1,12939:287963,2
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000231015.2_ASM23101v3_chromosome.fna,GCF_000231015.2_ASM23101v3,1384116,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000231015.2_ASM23101v3_plasmid.fna,GCF_000231015.2_ASM23101v3,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000007005.1_ASM700v1_chromosome.fna,GCF_000007005.1_ASM700v1,2992245,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000007005.1_ASM700v1_plasmid.fna,GCF_000007005.1_ASM700v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000404225.1_ASM40422v1_chromosome.fna,GCF_000404225.1_ASM40422v1,1931651,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000404225.1_ASM40422v1_plasmid.fna,GCF_000404225.1_ASM40422v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000253055.1_ASM25305v1_chromosome.fna,GCF_000253055.1_ASM25305v1,1841542,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000253055.1_ASM25305v1_plasmid.fna,GCF_000253055.1_ASM25305v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000011205.1_ASM1120v1_chromosome.fna,GCF_000011205.1_ASM1120v1,2694756,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000011205.1_ASM1120v1_plasmid.fna,GCF_000011205.1_ASM1120v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000092465.1_ASM9246v1_chromosome.fna,GCF_000092465.1_ASM9246v1,1580347,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000092465.1_ASM9246v1_plasmid.fna,GCF_000092465.1_ASM9246v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000195915.1_ASM19591v1_chromosome.fna,GCF_000195915.1_ASM19591v1,1564906,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000195915.1_ASM19591v1_plasmid.fna,GCF_000195915.1_ASM19591v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025665.1_ASM2566v1_chromosome.fna,GCF_000025665.1_ASM2566v1,1486778,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025665.1_ASM2566v1_plasmid.fna,GCF_000025665.1_ASM2566v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000013445.1_ASM1344v1_chromosome.fna,GCF_000013445.1_ASM1344v1,3544738,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000013445.1_ASM1344v1_plasmid.fna,GCF_000013445.1_ASM1344v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000265525.1_ASM26552v1_chromosome.fna,GCF_000265525.1_ASM26552v1,1950313,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000265525.1_ASM26552v1_plasmid.fna,GCF_000265525.1_ASM26552v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000016605.1_ASM1660v1_chromosome.fna,GCF_000016605.1_ASM1660v1,2191517,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000016605.1_ASM1660v1_plasmid.fna,GCF_000016605.1_ASM1660v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000015945.1_ASM1594v1_chromosome.fna,GCF_000015945.1_ASM1594v1,1570485,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000015945.1_ASM1594v1_plasmid.fna,GCF_000015945.1_ASM1594v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000022545.1_ASM2254v1_chromosome.fna,GCF_000022545.1_ASM2254v1,1845800,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000022545.1_ASM2254v1_plasmid.fna,GCF_000022545.1_ASM2254v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000015145.1_ASM1514v1_chromosome.fna,GCF_000015145.1_ASM1514v1,1667163,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000015145.1_ASM1514v1_plasmid.fna,GCF_000015145.1_ASM1514v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_001412615.1_ASM141261v1_chromosome.fna,GCF_001412615.1_ASM141261v1,2023836,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_001412615.1_ASM141261v1_plasmid.fna,GCF_001412615.1_ASM141261v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000196655.1_ASM19665v1_chromosome.fna,GCF_000196655.1_ASM19665v1,2242317,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000196655.1_ASM19665v1_plasmid.fna,GCF_000196655.1_ASM19665v1,163915,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000193375.1_ASM19337v1_chromosome.fna,GCF_000193375.1_ASM19337v1,1936063,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000193375.1_ASM19337v1_plasmid.fna,GCF_000193375.1_ASM19337v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000300255.2_ASM30025v2_chromosome.fna,GCF_000300255.2_ASM30025v2,1666795,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000300255.2_ASM30025v2_plasmid.fna,GCF_000300255.2_ASM30025v2,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000011185.1_ASM1118v1_chromosome.fna,GCF_000011185.1_ASM1118v1,1584804,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000011185.1_ASM1118v1_plasmid.fna,GCF_000011185.1_ASM1118v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000022365.1_ASM2236v1_chromosome.fna,GCF_000022365.1_ASM2236v1,2045438,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000022365.1_ASM2236v1_plasmid.fna,GCF_000022365.1_ASM2236v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025865.1_ASM2586v1_chromosome.fna,GCF_000025865.1_ASM2586v1,2012424,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025865.1_ASM2586v1_plasmid.fna,GCF_000025865.1_ASM2586v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000025625.1_ASM2562v1_chromosome.fna,GCF_000025625.1_ASM2562v1,3751858,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000025625.1_ASM2562v1_plasmid.fna,GCF_000025625.1_ASM2562v1,378348:254950:58487,3
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000813245.1_ASM81324v1_chromosome.fna,GCF_000813245.1_ASM81324v1,1754190,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000813245.1_ASM81324v1_plasmid.fna,GCF_000813245.1_ASM81324v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000317795.1_ASM31779v1_chromosome.fna,GCF_000317795.1_ASM31779v1,1546846,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000317795.1_ASM31779v1_plasmid.fna,GCF_000317795.1_ASM31779v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000015765.1_ASM1576v1_chromosome.fna,GCF_000015765.1_ASM1576v1,1804962,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000015765.1_ASM1576v1_plasmid.fna,GCF_000015765.1_ASM1576v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000186365.1_ASM18636v1_chromosome.fna,GCF_000186365.1_ASM18636v1,1314639,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000186365.1_ASM18636v1_plasmid.fna,GCF_000186365.1_ASM18636v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000017625.1_ASM1762v1_chromosome.fna,GCF_000017625.1_ASM1762v1,2542943,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000017625.1_ASM1762v1_plasmid.fna,GCF_000017625.1_ASM1762v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000725425.1_ASM72542v1_chromosome.fna,GCF_000725425.1_ASM72542v1,1859370,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000725425.1_ASM72542v1_plasmid.fna,GCF_000725425.1_ASM72542v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000970025.1_ASM97002v1_chromosome.fna,GCF_000970025.1_ASM97002v1,4533209,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000970025.1_ASM97002v1_plasmid.fna,GCF_000970025.1_ASM97002v1,41698,1
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000023945.1_ASM2394v1_chromosome.fna,GCF_000023945.1_ASM2394v1,3116795,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000023945.1_ASM2394v1_plasmid.fna,GCF_000023945.1_ASM2394v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000517445.1_ASM51744v1_chromosome.fna,GCF_000517445.1_ASM51744v1,1957742,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000517445.1_ASM51744v1_plasmid.fna,GCF_000517445.1_ASM51744v1,,0
chromosome,/home/mitsuki/out/altorf/genome/fasta/GCF_000403645.1_ASM40364v1_chromosome.fna,GCF_000403645.1_ASM40364v1,3255260,1
plasmid,/home/mitsuki/out/altorf/genome/fasta/GCF_000403645.1_ASM40364v1_plasmid.fna,GCF_000403645.1_ASM40364v1,,0
